ques_no,question,category,difficulty,expected_answer,keywords
15,Explain Python's iterator protocol.,Language,Easy,An iterator implements __iter__ (returns self) and __next__ (raises StopIteration when exhausted). Iterables return iterators.,"__iter__, __next__, StopIteration, iterator"
16,How to read and write files efficiently in Python?,IO,Easy,"Use with open(...) as f: for safe resource management, read in chunks for large files, and use binary modes when needed.","open, with, read, write, chunks"
17,What is monkey patching?,Advanced,Easy,"Monkey patching modifies modules or classes at runtime (e.g., replacing methods). Useful for testing but can make maintenance hard.","monkey patching, runtime, testing"
18,Explain Python's slicing mechanics (start:stop:step).,Language,Easy,"Slicing uses start inclusive, stop exclusive, and step to stride. Negative indices count from end; slice returns a new sequence.","slicing, indices, negative index"
19,How do you implement caching/memoization in Python?,Performance,Easy,Use functools.lru_cache decorator for function-level caching or implement caches/dicts; consider cache size and eviction policy.,"lru_cache, memoization, cache"
20,What is the difference between global and nonlocal keywords?,Language,Easy,global declares a module-level variable inside a function; nonlocal refers to variables in an enclosing (non-global) scope.,"global, nonlocal, scope"
21,How to manage dependencies and virtual environments?,Tooling,Easy,"Use venv, virtualenv or conda to create isolated environments and pip/requirements.txt or pip-tools/poetry to track dependencies.","venv, virtualenv, pip, requirements.txt"
22,Explain lambda functions and when to use them.,Language,Easy,Lambda creates small anonymous functions used for short callbacks or key functions; prefer named functions for complex logic.,"lambda, anonymous function, callback"
23,How does Python's import system work?,Tooling,Easy,Python searches sys.path for modules and packages; __init__.py defines packages; use absolute or relative imports and caching in sys.modules.,"import, sys.path, package, __init__.py"
24,Describe how to create a Python package for distribution.,Tooling,Easy,"Structure module folders, include setup.cfg/setup.py or pyproject.toml, specify dependencies, and publish via twine to PyPI.","package, setup.py, pyproject.toml, twine"
25,Explain asyncio and async/await.,Concurrency,Easy,asyncio provides async event loop for concurrent I/O. Define async functions and use await for awaiting coroutines; good for I/O-bound tasks.,"asyncio, async, await, event loop"
26,How to connect to a database in Python?,Databases,Easy,"Use DB-API compliant drivers (psycopg2, mysql-connector) or ORM like SQLAlchemy; use parameterized queries to avoid SQL injection.","DB-API, SQLAlchemy, psycopg2, parameterized queries"
27,Explain how to implement REST APIs in Flask.,Frameworks,Easy,"Use Flask route decorators to map endpoints, handle JSON input/output, and use blueprints for modularity and proper error handling.","Flask, route, blueprint, JSON"
28,How to unit test Python code?,Testing,Easy,"Use unittest or pytest frameworks with test functions/classes, mocks (unittest.mock), and assertions. Aim for small, deterministic tests.","unittest, pytest, mock, assertion"
29,What is duck typing?,Language,Easy,Duck typing relies on object behavior (methods/attributes) rather than explicit types; 'if it walks like a duck'.,"duck typing, dynamic typing, Python"
30,Explain packaging formats: wheel vs egg vs source distribution.,Tooling,Easy,Wheel (.whl) is modern binary package; egg is older; source distribution contains code to build on install. Prefer wheels for distribution.,"wheel, sdist, egg, distribution"
31,How to implement pagination for API responses?,Design,Easy,Use limit-offset or cursor-based pagination depending on scale; cursor pagination is safer for large datasets and consistent ordering.,"pagination, limit-offset, cursor"
32,What is pickling and when to avoid it?,Serialization,Easy,Pickle serializes Python objects but is insecure for untrusted data. Use JSON or other safe formats for interoperability and security.,"pickle, serialization, security"
33,Explain differences between Python 2 and Python 3.,Language,Easy,Python 3 fixes Unicode handling and print as function; Python 2 is EOL. Prefer Python 3 for modern projects.,"Python2, Python3, unicode, EOL"
34,How to handle JSON in Python?,IO,Medium,Use json module to load/dump JSON; for large JSON use ijson for incremental parsing.,"json, json.load, json.dump, ijson"
35,Explain how to use pandas for data manipulation.,Libraries,Medium,Pandas provides DataFrame for tabular data with read/merge/groupby/agg operations and vectorized computation.,"pandas, DataFrame, groupby, merge"
36,How to optimize Pandas performance?,Libraries,Medium,"Use vectorized ops, avoid row-wise loops, use categorical dtypes, chunking or Dask for large datasets.","pandas, vectorized, categorical, dask"
37,Explain NumPy array vs Python list.,Libraries,Medium,"NumPy arrays are homogeneous, memory-efficient, and support vectorized operations; Python lists are heterogeneous and slower numerically.","numpy, ndarray, vectorized"
38,How to use virtualenvwrapper or pipenv?,Tooling,Medium,Use pipenv or virtualenvwrapper for easier env and dependency management with per-project virtual environments.,"pipenv, virtualenvwrapper, venv"
39,Explain the use of type hints (PEP 484).,Language,Medium,Type hints annotate function signatures and variables; use static checkers like mypy to validate types at development time.,"type hints, PEP 484, mypy"
40,How to implement logging in Python applications?,Tooling,Medium,"Use logging module to configure handlers, formatters, and logging levels; avoid print for production diagnostics.","logging, handlers, formatter"
41,What are Python's built-in data structures?,Data Structures,Medium,"Built-ins include list, tuple, dict, set, frozenset—each with different mutability and performance characteristics.","list, dict, set, tuple"
42,Explain method resolution order (MRO) in Python.,OOP,Medium,MRO is the order Python uses to resolve methods in multiple inheritance (C3 linearization). Use super() to follow MRO.,"MRO, multiple inheritance, super, C3"
43,How to use subprocess to run external commands?,OS/Utils,Medium,"Use subprocess.run or Popen with proper arguments and capture output, avoiding shell=True to reduce injection risk.","subprocess, Popen, run, shell"
44,Explain how to use regex in Python.,Language,Medium,"Use re module for pattern matching with search, match, findall, sub; compile patterns for reuse.","regex, re, compile, search"
45,How to handle timezones and datetime in Python?,Libraries,Medium,Use datetime with tzinfo or dateutil/pytz for timezone-aware datetimes and prefer aware datetimes for correctness.,"datetime, timezone, pytz, dateutil"
46,Explain Python's built-in functions for iteration like enumerate and zip.,Language,Medium,"enumerate gives (index, value); zip aggregates iterables element-wise. They produce iterators and are memory efficient.","enumerate, zip, iterator"
47,How to secure Python web applications?,Security,Medium,"Validate input, use parameterized queries, escape outputs, enable CSRF protection, sanitize uploads, and manage secrets securely.","security, CSRF, input validation, SQL injection"
48,What is WSGI and ASGI?,Web,Medium,WSGI is a synchronous interface for Python web apps; ASGI supports async and websockets for modern frameworks.,"WSGI, ASGI, synchronous, asynchronous"
49,"Explain data serialization formats (JSON, YAML, Protobuf).",Serialization,Medium,JSON is text-based and widely supported; YAML is human-friendly; Protobuf is compact and strongly typed for RPCs.,"JSON, YAML, Protobuf, serialization"
50,How to use pytest fixtures?,Testing,Medium,Fixtures provide reusable setup/teardown for tests using @pytest.fixture and can scope per-function/module/session.,"pytest, fixture, setup, teardown"
51,Explain dependency injection in Python.,Design,Medium,Dependency injection passes dependencies into components rather than creating them internally to improve testability and modularity.,"dependency injection, inversion of control"
52,How to implement retries with exponential backoff?,Resilience,Medium,Retry failed operations with increasing delays (backoff factor) and optional jitter to avoid thundering herd issues.,"retry, exponential backoff, jitter"
53,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
54,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
55,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
56,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
57,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
58,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
59,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
60,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
61,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
62,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
63,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
64,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
65,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
66,How to perform unit testing with mocks?,Testing,Medium,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
67,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
68,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
69,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
70,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
71,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
72,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
73,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
74,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
75,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
76,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
77,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
78,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
79,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
80,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
81,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
82,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
83,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
84,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
85,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
86,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
87,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
88,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
89,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
90,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
91,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
92,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
93,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
94,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
95,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
96,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
97,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
98,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
99,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
100,How to perform unit testing with mocks?,Testing,Hard,Use unittest.mock to patch dependencies and assert calls or side effects for isolated unit tests.,"unittest.mock, patch, mock"
