ques_no,question,category,difficulty,expected_answer,keywords
21,Explain the basics of JDBC and connecting to a database.,Databases,Easy,"Use DriverManager or DataSource, create Connection, prepare statements, and handle results with ResultSet.","JDBC, Connection, PreparedStatement"
22,What is ORM and Hibernate?,Databases,Easy,"ORM maps objects to DB tables; Hibernate is a popular Java ORM handling session, caching, and lazy loading.","ORM, Hibernate, session"
23,Explain the Spring Framework core concepts.,Frameworks,Easy,"Spring provides dependency injection, inversion of control, and modules like Spring MVC and Spring Boot for rapid app development.","Spring, DI, IoC, Spring Boot"
24,How does Spring Boot simplify application setup?,Frameworks,Easy,"Spring Boot auto-configures apps with starters and embedded servers, reducing boilerplate and configuration.","Spring Boot, auto-configuration, starter"
25,What is REST and how to build REST APIs in Spring?,Web,Easy,"Use @RestController, @RequestMapping and ResponseEntity; handle JSON via Jackson and map URLs to resources.","REST, @RestController, JSON, Jackson"
26,Explain the Producer-Consumer problem in Java.,Concurrency,Easy,"Use BlockingQueue, wait/notify, or locks/conditions to safely coordinate producers and consumers.","Producer-Consumer, BlockingQueue, wait, notify"
27,Describe design patterns commonly used in Java.,Design Patterns,Easy,"Singleton, Factory, Strategy, Observer, Builder are common patterns to solve recurring design problems.","Singleton, Factory, Strategy, Builder"
28,What is JUnit and how to write unit tests in Java?,Testing,Easy,Use JUnit annotations like @Test and assertions to write unit tests; use Mockito for mocking dependencies.,"JUnit, @Test, Mockito"
29,Explain serialization in Java.,IO,Easy,Convert objects to byte streams with Serializable; use serialVersionUID for versioning during deserialization.,"Serializable, serialVersionUID, ObjectOutputStream"
30,How to handle transactions in Java applications?,Databases,Easy,Use JDBC transactions or container-managed transactions; in Spring use @Transactional to demarcate transactional boundaries.,"transaction, commit, rollback, @Transactional"
31,How to detect memory leaks in Java applications?,Debugging,Easy,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
32,How to detect memory leaks in Java applications?,Debugging,Easy,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
33,How to detect memory leaks in Java applications?,Debugging,Easy,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
34,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
35,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
36,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
37,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
38,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
39,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
40,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
41,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
42,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
43,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
44,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
45,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
46,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
47,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
48,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
49,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
50,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
51,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
52,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
53,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
54,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
55,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
56,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
57,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
58,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
59,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
60,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
61,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
62,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
63,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
64,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
65,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
66,How to detect memory leaks in Java applications?,Debugging,Medium,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
67,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
68,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
69,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
70,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
71,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
72,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
73,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
74,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
75,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
76,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
77,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
78,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
79,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
80,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
81,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
82,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
83,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
84,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
85,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
86,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
87,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
88,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
89,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
90,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
91,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
92,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
93,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
94,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
95,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
96,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
97,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
98,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
99,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
100,How to detect memory leaks in Java applications?,Debugging,Hard,"Use profilers (VisualVM, YourKit) to analyze heap dumps, track object retention and find leaking references.","memory leak, heap dump, profiler"
